Restaurant,Address,Coordinates,Cusines
Central Perk (F.R.I.E.N.D.S Cafe),1 Magazine Road#01-01Central Mall Singapore (059567),"1.2884642, 103.8420429","American, Bar, Fusion, Cafe"
Chang Korean BBQ,71 Loewen Road#01-01Singapore (248847),"1.3019405, 103.8116485",Korean
Chao Chao Gyoza,103 Irrawaddy Road#01-05Royal Square@Novena Square Singapore (329566),"1.3206799, 103.843035","Bar, Japanese"
Chao Niu Hot Pot,195 East Coast Road Singapore (428900),"1.3071625, 103.9065279","Chinese, Steamboat"
ChaoTa,232 Tanjong Katong Road Singapore (437020),"1.306873, 103.895427","Bar, BBQ"
Chapter 55,55 Tiong Bahru Road#01-37Singapore (160055),"1.2841889, 103.8343848","Bar, Italian, Pizza"
Char,363 Jalan Besar Singapore (208994),"1.3126815, 103.8595126","Chinese, Local"
Charlie's Restaurant & Bar,32 Boat Quay Singapore (049821),"1.2861956, 103.8498069",Spanish
Chatterbox,"333 Orchard Road Level 5,Mandarin Orchard Hotel Singapore Singapore (238867)","1.3022281, 103.8360357","Chinese, Vegetarian Friendly, Local"
Cheek Bistro,21 Boon Tat Street Singapore (069620),"1.2814005, 103.8485518","Australian, Vegetarian Friendly"
Chef's Table by Chef Stephan,61 Tras Street Singapore (079000),"1.2778263, 103.8444436","Modern European, French, Fusion, Vegetarian Friendly"
Chen's Mapo Tofu (Delivery),6A Shenton Way#02-29Downtown Gallery Singapore (068815),"1.2780123, 103.8491846",Chinese
Chengdu 成都,74 Amoy Street Singapore (069893),"1.2803451, 103.84671","Chinese, Fusion, Vegetarian Friendly, Zi Char"
Cherry Garden,5 Raffles Avenue Marina Square The Mandarin Oriental Singapore (039797),"1.2908185, 103.8582972","Chinese, Dim Sum"
Cheval Cafe Bar Bistro,1 Equestrian Walk Singapore Turf Club Riding Centre Singapore (737863),"1.4281561, 103.7674694","Seafood, Vegetarian Friendly, Cafe"
Cheval Chi Bao,2 Bukit Batok West Avenue 7#01-09B Hometeam NS Clubhouse Singapore (659003),"1.365836, 103.7497711",Chinese
CHICHI,92 Amoy Street#01-01Singapore (069911),"1.2812468, 103.8471076","Japanese, Fusion, Modern Asian"
Chicken Up (Buangkok),277C Compassvale Link Singapore (543277),"1.3823625, 103.8940316",Korean
Chicken Up (Tanjong Pagar),48 Tanjong Pagar Road#01-01Singapore (088469),"1.2792556, 103.8437694",Korean
Chico Loco,102 Amoy Street Singapore (069922),"1.2816162, 103.8474079","Bar, International, Mexican"
CHILLAS Indian Restaurant,1 Fusionopolis Place#02-03Galaxis Singapore (138522),"1.3004512, 103.7871501",Indian
Chimi's,1 Marina Boulevard#01-01Singapore (018989),"1.2822004, 103.8526513",Mexican
Chimichanga,36 Dunlop Street Singapore (209364),"1.3048329, 103.8539107",Mexican
Chinoiserie,2 Bayfront Avenue B1-15The Shoppes at Marina Bay Sands Singapore (018972),"1.2788703, 103.8570997","Modern European, Chinese, Fusion, Modern Asian"
Chock Full of Beans,"Blk 4 Changi Village Road #01-2090,Singapore (500004)","1.388892, 103.987688","Fusion, Cafe"
Chong Qing Grilled Fish (Chinatown),18 Mosque Street Singapore (059498),"1.2838539, 103.844558","Buffet, Chinese, Seafood"
Chopsuey Cafe Dempsey,10 Dempsey Road#01-23Singapore (247700),"1.3033906, 103.8104867","Chinese, International, Seafood, Vegetarian Friendly, Local, Dim Sum, Southeast Asian, Modern Asian"
Choupinette,607 Bukit Timah Road#01-01Singapore (269708),"1.324379, 103.8094803","French, All-Day Breakfast, Cafe"
Chuan Hung,51 Telok Ayer Street#01-01Singapore (048441),"1.2829964, 103.8491447",Chinese
Chug Chug (PLQ),2 Tanjong Katong Road#01-09PLQ 3 Paya Lebar Quarter Singapore (437161),"1.316081, 103.8935549","Bar, Japanese, Korean"
Chug Chug Singapore,114 Tanjong Pagar Road Singapore (088529),"1.2779286, 103.8435039","Bar, Fusion, Burgers"
Chui Huay Lim Teochew Cuisine,"190 Keng Lee Road #01-02,Chui Huay Lim Club Singapore (308409)","1.3137597, 103.8415269","Chinese, Zi Char"
Chunqiu Restaurant,42 Mosque Street Singapore (059520),"1.2839793, 103.8446732","Chinese, Seafood, Vegetarian Friendly"
Chutney Mary (East Coast),719 East Coast Road Singapore (459069),"1.3122748, 103.9228582","Indian, Vegetarian Friendly, Cafe"
CIA ToP Table,Block 31 Tampines Avenue 1Level 3Temasek Culinary Academy Temasek Polytechnic Singapore (529757),"1.3451847, 103.9318122","American, French, International"
Cibo Italiano,428 River Valley Road Singapore (248327),"1.2945058, 103.8276315","Bar, Italian, Vegetarian Friendly"
Cicada Singapore,3 River Valley Road #01-10 Clarke Quay Block C Singapore (179022),"1.2906024, 103.8464742","Fusion, Local, Cafe"
CIN CIN,100 Peck Seah Street#01-02Oasia Hotel Downtown Singapore (079333),"1.275835, 103.8442824","Bar, Vegetarian Friendly"
Citrus Bistro,57 Anchorvale Road#01-01Sengkang Sports Centre Singapore (544964),"1.3964799, 103.8868403","Fusion, Halal Certified, Cafe"
Citrus By The Pool,3 Woodlands Street 13#3-3A Woodlands Swimming Complex Singapore (738600),"1.434622, 103.779376","Fusion, Halal Certified, Cafe"
City Hot Pot Shabu Shabu (Guoco Tower),7 Wallich Street#B1-04/05Guocco Tower Singapore (078884),"1.2770512, 103.8455475","Chinese, Seafood, Local, Steamboat"
City Hot Pot Shabu Shabu (Raffles Place),1 Raffles Place#04-26/27/28One Raffles Place Singapore (048616),"1.284177, 103.851063","Chinese, Vegetarian Friendly, Local, Steamboat"
Clan Cafe,31 Bukit Pasoh Road Singapore (089845),"1.279295, 103.840375",Cafe
the Cliff (Sofitel Sentosa),2 Bukit Manis Road Sofitel Singapore Sentosa Resort & Spa Singapore (099891),"1.2456916, 103.8278754","Italian, Vegetarian Friendly"
The Clifford Pier,80 Collyer Quay Lobby Level The Fullerton Bay Hotel Singapore (049326),"1.2832383, 103.8536272","Chinese, Malaysian, Local"
Clinton Street Baking Company,31 Purvis Street Singapore (188608),"1.2963027, 103.855095","American, All-Day Breakfast, Cafe"
Cloudstreet,84 Amoy Street Singapore (069903),"1.2807673, 103.8469772","Australian, Vegetarian Friendly"
Clove,2 Stamford Road Level 2Swissotel The Stamford Singapore (178882),"1.2932771, 103.8535076","American, Bar, Modern European, Fusion, International, Vegetarian Friendly, Cafe, Burgers, Vegetarian, Dessert Only"
Coastes,50 Siloso Beach Walk#01-06Singapore (099000),"1.252495, 103.816038","Bar, Seafood"
COCA at Kallang Leisure Park,5 Stadium Walk#02-01Singapore (397693),"1.3021918, 103.876502","Buffet, Chinese, Thai, Seafood, Local, Steamboat"
COCA at Suntec,3 Temasek Boulevard#02-440Suntec City Mall Singapore (038983),"1.2953376, 103.8581418","Buffet, Chinese, Thai, Local, Steamboat"
COCA at Takashimaya,"391B Orchard Road #04-23,Ngee Ann City Singapore (238874)","1.3025572, 103.834568","Buffet, Chinese, Thai, Seafood, Local, Steamboat"
Cocobolo Poolside Bar + Grill,1 Unity Street Level 2Park Hotel Clarke Quay Singapore (237983),"1.2914332, 103.8423842","Bar, Buffet, International, Local"
The Coconut Club,28 Ann Siang Road Singapore (069708),"1.2807255, 103.8457872","Malaysian, Local, Southeast Asian"
The Coffee Academics (Raffles City),252 North Bridge Road#B1-12Raffles City Shopping Centre Singapore (179103),"1.2936888, 103.8539365","All-Day Breakfast, Cafe, Pizza, Burgers"
The Coffee Academics (Scotts Square),6 Scotts Road#02-01/#02-02Scotts Square Singapore (228209),"1.3058788, 103.8329554","All-Day Breakfast, Cafe, Burgers"
Coleman's Cafe,5 Coleman Street5F Peninsula Excelsior Hotel Singapore (179805),"1.2921301, 103.8499727","Buffet, International, Local, Cafe"
COLLIN’S®️ (Marina Square),6 Raffles Boulevard#01-204/205Marina Square Singapore (039594),"1.2914837, 103.8581984",Steakhouse
Colonial Club Signatures,290 Orchard Road#B1-43Paragon Shopping Centre Singapore (238859),"1.3038699, 103.8357982","Malaysian, Local"
"Colony (The Ritz-Carlton, Millenia Singapore)",Level 37 Raffles Avenue Singapore (039799),"1.2894584, 103.862269","Buffet, Chinese, Japanese, Indian, Indonesian, Malaysian, International, Seafood, British, Vegetarian Friendly, Local, Dim Sum, Southeast Asian"
Columbus Coffee Co.,220 Upper Thomson Road Singapore (574352),"1.3529, 103.8354207","All-Day Breakfast, Cafe"
Comida Mexicana,404 East Coast Road Singapore (428998),"1.308853, 103.912105",Mexican
Common Man Stan,11/12 Stanley Street Singapore (068730),"1.280279, 103.847971","Australian, All-Day Breakfast, Vegetarian Friendly, Cafe"
Communal Coffee,60 Prinsep Street Singapore (188664),"1.2996497, 103.8499654","All-Day Breakfast, Cafe"
The Communal Place,465 Joo Chiat Road Singapore (427677),"1.3067012, 103.9047474","American, Australian, Fusion, International, All-Day Breakfast, British, Cafe, Burgers"
Como Cuisine,18A Dempsey Road Singapore (249677),"1.3058407, 103.8105749","Modern European, International, Vegetarian Friendly, Cafe"
Conrad Lobby Lounge,2 Temasek Boulevard Conrad Centennial Hotel Singapore (038982),"1.2932404, 103.8587623",Bar
Cook & Brew,12 Marina View Level 33The Westin Singapore Asia Square Tower 2Singapore (018961),"1.2782749, 103.8507719","Bar, Modern European, Fusion, Vegetarian Friendly, Modern Asian"
Cool Cats,32 Beach Road Singapore (189764),"1.2943478, 103.855289",Bar
The Cooperage,42 Hong Kong Street Singapore (059681),"1.2872702, 103.8476184","Bar, Japanese, French, Italian, Pizza"
Copper,167 Penang Road#01-01 Winsland House Singapore (238462),"1.299853, 103.840569","Japanese, Fusion, Modern Asian"
Copper Chimney (Marina Bay Financial Center),12 Marina Boulevard#02-01Marina Bay Financial Centre Tower 3Singapore (018982),"1.2790221, 103.8544967","Indian, Vegetarian Friendly, Halal Certified"
Copper Chimney (Syed Alwi),100 Syed Alwi Road Singapore (207676),"1.3098902, 103.8552856","Indian, Vegetarian Friendly"
Coq & Balls,6 Kim Tian Road Singapore (169246),"1.285135, 103.829264",Bar
Coriander Leaf @ Ann Siang,12 Ann Siang Road Singapore (069692),"1.2813466, 103.8454791",Modern Asian
Coriander Leaf @ CHIJMES,30 Victoria Street#02-01CHIJMES Singapore (187996),"1.294726, 103.852524",International
Corner House,1 Cluny Road Singapore Botanic Gardens EJH Corner House(Nassim Gate Entrance)Singapore (259569),"1.3138397, 103.8159136","Bar, Modern European, French, Vegetarian Friendly"
Coucou,9 Craig Road#01-01Singapore (089669),"1.2776039, 103.842797","Bar, Modern European"
The Courtyard,1 Fullerton Square The Fullerton Hotel Singapore Singapore (049178),"1.2863532, 103.8530671","Bar, Japanese, Indian, International"
Coyote Ugly Saloon,3B River Valley Road#01-08Singapore (179021),"1.2958759, 103.8397086","American, Local, Pizza, Burgers"
Craft Pizza,35A Boat Quay Singapore (049824),"1.2863031, 103.8496754","American, Italian, Pizza"
Crossings Cafe,55 Waterloo Street#01-01Catholic Centre Building Singapore (187954),"1.2983144, 103.8514777","All-Day Breakfast, Cafe, Burgers"
Crystal Jade Dining IN,1 Harbourfront Walk#01-112Vivo City Singapore (098585),"1.2644032, 103.8222071","Chinese, Vegetarian Friendly"
Crystal Jade Golden Palace,290 Orchard Road#05-22The Paragon Singapore (238859),"1.3038699, 103.8357982",Chinese
Crystal Jade Hong Kong Kitchen (Causeway Point),1 Woodlands Square#05-10Causeway Point Singapore (738099),"1.4360933, 103.7859471",Chinese
Crystal Jade Hong Kong Kitchen (Great World City),1 Kim Seng Promenade#03-127Great World City Singapore (237994),"1.2936417, 103.8319293",Chinese
Crystal Jade Hong Kong Kitchen (Holland Village),2 Lorong Mambong Holland Village Singapore (277671),"1.3109931, 103.7953414",Chinese
Crystal Jade Hong Kong Kitchen (Suntec City),3 Temasek Boulevard#B1-112Suntec City Mall Singapore (038983),"1.29503, 103.8583026",Chinese
Crystal Jade Hong Kong Kitchen (Takashimaya),391 Orchard Road#B2-38Takashimaya Shopping Centre Singapore (238872),"1.3025572, 103.834568",Chinese
Crystal Jade Hong Kong Kitchen (Tampines Mall),4 Tampines Central 5#B1-11Tampines Mall Singapore (529510),"1.3524936, 103.9447179",Chinese
Crystal Jade Hong Kong Kitchen (The Clementi Mall),3155 Commonwealth Avenue West#03-54The Clementi Mall Singapore (129588),"1.314918, 103.7643089",Chinese
Crystal Jade Hong Kong Kitchen (Westgate),3 Gateway Drive#04-42Westgate Mall Singapore (608532),"1.3345013, 103.7426077",Chinese
Crystal Jade Jiang Nan (VivoCity),1 Harbourfront Walk#01-52Vivo City Singapore (098585),"1.2644032, 103.8222071",Chinese
Crystal Jade La Mian Xiao Long Bao (Bugis),200 Victoria Street#B1-04A Bugis Junction Singapore (188021),"1.2988889, 103.8555556",Chinese
Crystal Jade La Mian Xiao Long Bao (Holland Village),241 Holland Avenue Singapore (278976),"1.3109916, 103.795613",Chinese
Crystal Jade La Mian Xiao Long Bao (Jurong Point),1 Jurong West Central 2#03-96Jurong Point JP2Singapore (648886),"1.3397443, 103.7067297",Chinese
Crystal Jade La Mian Xiao Long Bao (Takashimaya),391 Orchard Road#B2-36A Takashimaya Shopping Centre Singapore (238872),"1.3021233, 103.8346725","Chinese, Dim Sum"
Crystal Jade La Mian Xiao Long Bao (Toa Payoh),470 Toa Payoh Lorong 6#01-70HDB Hub Singapore (310470),"1.3320803, 103.8493781",Chinese
Crystal Jade Palace,391 Orchard Road#04-19Takashimaya Shopping Center Singapore (238872),"1.3025572, 103.834568",Chinese
Crystal Jade Pavilion (Crowne Plaza T3),75 Airport Boulevard#01-02Crowne Plaza Changi Airport Changi Airport Terminal 3Singapore (819664),"1.3585609, 103.9879672",Chinese
Cuba Libre Cafe & Bar (Clarke Quay),3B River Valley Road#01-13Singapore (179021),"1.2958741, 103.839689","Bar, Spanish, South American, Vegetarian Friendly, Caribbean, Mexican, Cuban"
Cuba Libre Cafe & Bar (Frasers Tower),182 Cecil Street#01-06/07Frasers Tower Singapore (069547),"1.2786632, 103.8474008","Bar, Spanish, South American, Cafe"
Cucina Restaurant & Catering,12 Kallang Avenue#02-10Aperia Mall Singapore (339511),"1.3100591, 103.8643756","Fusion, Halal Certified"
CulinaryOn (Weekend Brunch),11 Unity Street#01-23/24Robertson Walk Singapore (237995),"1.2919896, 103.8416883","Buffet, Italian, International"
CURATE,26 Sentosa Gateway#01-231/232Resorts World Sentosa Singapore (098138),"1.255179, 103.8218107",German
Cure Singapore,21 Keong Saik Road Singapore (089128),"1.279762, 103.8413406","Modern European, Vegetarian Friendly"
Curry Bowl,30 Race Course Lane#01-02/03Singapore (218745),"1.3102355, 103.8525577","Indian, Vegetarian Friendly"
Curry Nations,21 Biopolis Road#01-05Nucleos Singapore (138567),"1.3018443, 103.792238",Indian
CÉ LA VI,1 Bayfront Avenue Level 57Tower 3Marina Bay Sands Sky Park Singapore (018971),"1.2829764, 103.8604745",Modern Asian
d.o.c,21 Tanjong Pagar Road#01-01Singapore (088444),"1.2796469, 103.8441903",Italian
Da Long Yi Hot Pot,181 Orchard Road#08-08Orchard Central Singapore (238896),"1.3006295, 103.8398742","Chinese, Steamboat"
Da Paolo Dempsey Restaurant & Bar,8 Dempsey Road#01-13Singapore (247696),"1.3042251, 103.8095057","Bar, Modern European, Italian, Vegetarian Friendly, Pizza"
Da Paolo Pizza Bar,44 Jalan Merah Saga Singapore (278116),"1.3116259, 103.796677","Bar, Italian, Pizza"
Daisy's Dream Kitchen,131 Rifle Range Road#01-01Temasek Club Singapore (588406),"1.34646, 103.7806885","Malaysian, Southeast Asian, Peranakan, Cafe"
Dallas Restaurant & Bar (Boat Quay),31 Boat Quay Singapore (049820),"1.2861288, 103.8497773","American, Mexican, Burgers"
Dan Ryan's Chicago Grill,91 Tanglin Road#B1-01Tanglin Place Singapore (247918),"1.3053098, 103.8250961","American, Bar, Burgers"
Dancing Crab (Orchard Central),181 Orchard Road#07-14/15Orchard Central Singapore (238896),"1.300798, 103.839175","American, Seafood, Cajun"
Dancing Crab (Vivocity),1 Harbourfront Walk#03-10Vivo City Singapore (098585),"1.2635459, 103.8212252","American, Seafood, Cajun"
Dating Fish 鱼你有约“音乐主题餐厅,12 Mosque Street#01-01Singapore (059492),"1.2839493, 103.8443897","Bar, Chinese, BBQ"
db Bistro & Oyster Bar,2 Bayfront Avenue#B1-48The Shoppes at Marina Bay Sands Singapore (018972),"1.2788703, 103.8570997","French, Seafood"
De Dimension,1187 Upper Serangoon Road#01-17The Midtown Singapore (533971),"1.3704775, 103.8954832",Cafe
Decker Barbecue,60 Robertson Quay#01-17The Quayside Singapore (238252),"1.2900111, 103.8388802","American, BBQ"
Delhi Express Restaurant,1 Hoe Chiang Road Singapore (089310),"1.2740918, 103.8426845","Indian, Vegetarian Friendly"
Delhi Restaurant,64 Race Course Road Singapore (218569),"1.3085468, 103.8512009","Bar, Indian, Vegetarian Friendly"
Deli Moroccan,51 Bussorah Street Singapore (199467),"1.301866, 103.859383","Middle Eastern, Vegetarian"
Deli's Kitchen,91 Bencoolen Street#01-54Sunshine Plaza Singapore (189652),"1.3005314, 103.8508826","Japanese, Fusion, Steakhouse, Cafe"
The Dempsey Cookhouse and Bar,17D Dempsey Road Singapore (249676),"1.30577, 103.8101698","French, Pizza"
Der Biergarten,48 Prinsep Street#01-01Singapore (188677),"1.2996611, 103.8497482","Bar, German"
Derwish Turkish,60 Bussorah Street Singapore (199476),"1.301396, 103.859492","Middle Eastern, Vegetarian Friendly"
Di Wei Teochew Restaurant,1 The Oval Singapore (797859),"1.4073864, 103.8679714","Chinese, Seafood, Zi Char"
Dian Xiao Er (Bedok Mall),"311 New Upper Changi Road#01-73/74, Bedok Mall Singapore (467360)","1.3244894, 103.92902",Chinese
Dian Xiao Er (Hillion Mall),17 Petir Road#01-08/09/10Hillion Mall Singapore (678278),"1.3785171, 103.7632971","Chinese, Local"
Dian Xiao Er (JEM),50 Jurong Gateway Road#03-08JEM Singapore (608549),"1.3337765, 103.7436699","Chinese, Local"
Dian Xiao Er (Jewel),78 Airport Boulevard#B2-229Jewel Changi Airport Singapore (819666),"1.3602082, 103.9897593","Chinese, Local, Modern Asian"
Dian Xiao Er (Junction 8),"9 Bishan Place#B1-07, Junction 8Singapore (579837)","1.3506808, 103.8487631",Chinese
Dian Xiao Er (Jurong Point),63 Jurong West Central 3#B1-57Jurong Point Singapore (648331),"1.3392697, 103.7051807","Chinese, Local"
Dian Xiao Er (Lot One),"21 Choa Chu Kang Avenue 4#B1-32/33, Lot One Singapore (689812)","1.3851169, 103.7449142",Chinese
Dian Xiao Er (Marina Square),6 Raffles Boulevard Marina Square#02-203/204Singapore (039594),"1.2911534, 103.8576778","Chinese, Local"
Dian Xiao Er (NEX),23 Serangoon Central#02-09/10NEX Singapore (556083),"1.3507723, 103.8722585","Chinese, Local"
Dian Xiao Er (Northpoint City),930 Yishun avenue 2#02-06Northpoint City North Wing Singapore (769098),"1.4279686, 103.8364152","Chinese, Vegetarian Friendly"
Dian Xiao Er (Tampines One),10 Tampines Central 1#04-15Tampines One Singapore (529536),"1.354212, 103.9450352","Chinese, Local"
